train_loss,train_acc,val_loss,val_acc,val_f1_macro,val_f1_weighted
0.7841996060246054,0.39338235294117646,0.10740287473206134,0.8088235294117647,0.807757990746312,0.8153612441842893
0.19782193181762361,0.7040441176470589,0.06537207449539839,0.8970588235294118,0.8863899405916212,0.8989713645639251
0.15540991406134494,0.8143382352941176,0.050872809183441434,0.9264705882352942,0.9282266752854987,0.9284585440511046
0.13185360458480908,0.8529411764705882,0.05246478650694959,0.9191176470588235,0.9260537323364095,0.9209199666654448
0.10854846507722601,0.9007352941176471,0.03846698106294485,0.9705882352941176,0.9753501400560225,0.9705882352941176
0.04240466883433836,0.9485294117647058,0.04924861504747803,0.9632352941176471,0.9656869023083129,0.962504784212967
0.0462563516000584,0.9430147058823529,0.049340032535975055,0.9779411764705882,0.9810607872208139,0.9776679335945961
0.03920124634772586,0.9503676470588235,0.0637851960972694,0.9705882352941176,0.9740973312401884,0.9698206205559148
0.02170574650779061,0.9705882352941176,0.04931676427718698,0.9779411764705882,0.9810607872208139,0.9776679335945961
0.021782335960369558,0.9650735294117647,0.07794451721274076,0.9558823529411765,0.9574306645735218,0.9552372872225813
0.025019729324707012,0.9650735294117647,0.04952293397390323,0.9779411764705882,0.9786382366882187,0.9775944739350095
0.03886472280779513,0.9650735294117647,0.0499964302887655,0.9779411764705882,0.9770507270507272,0.9769684971890854
